HNode,LNode,Time,Makespan,SOC,SOL
HNode: 58, LNode: 261, solved: 1ms, makespan: 57, sum_of_costs: 1310, sum_of_loss: 1285
HNode: 53, LNode: 240, solved: 2ms, makespan: 52, sum_of_costs: 1368, sum_of_loss: 1250
HNode: 52, LNode: 237, solved: 1ms, makespan: 51, sum_of_costs: 1383, sum_of_loss: 1275
HNode: 49, LNode: 222, solved: 1ms, makespan: 48, sum_of_costs: 1250, sum_of_loss: 1151
HNode: 49, LNode: 221, solved: 1ms, makespan: 48, sum_of_costs: 1259, sum_of_loss: 1187
HNode: 57, LNode: 261, solved: 1ms, makespan: 56, sum_of_costs: 1231, sum_of_loss: 1046
HNode: 46, LNode: 208, solved: 1ms, makespan: 45, sum_of_costs: 1297, sum_of_loss: 1164
HNode: 47, LNode: 212, solved: 1ms, makespan: 46, sum_of_costs: 1197, sum_of_loss: 1112
HNode: 51, LNode: 235, solved: 1ms, makespan: 50, sum_of_costs: 1253, sum_of_loss: 1145
HNode: 45, LNode: 195, solved: 1ms, makespan: 44, sum_of_costs: 1137, sum_of_loss: 1112
HNode: 47, LNode: 210, solved: 1ms, makespan: 46, sum_of_costs: 1181, sum_of_loss: 1087
HNode: 64, LNode: 288, solved: 1ms, makespan: 60, sum_of_costs: 1326, sum_of_loss: 1116
HNode: 51, LNode: 229, solved: 1ms, makespan: 50, sum_of_costs: 1300, sum_of_loss: 1200
HNode: 42, LNode: 184, solved: 1ms, makespan: 41, sum_of_costs: 1241, sum_of_loss: 1144
HNode: 55, LNode: 259, solved: 1ms, makespan: 54, sum_of_costs: 1350, sum_of_loss: 1186
HNode: 44, LNode: 200, solved: 1ms, makespan: 43, sum_of_costs: 1303, sum_of_loss: 1204
HNode: 53, LNode: 242, solved: 1ms, makespan: 52, sum_of_costs: 1292, sum_of_loss: 1226
HNode: 51, LNode: 233, solved: 1ms, makespan: 50, sum_of_costs: 1328, sum_of_loss: 1150
HNode: 63, LNode: 366, solved: 1ms, makespan: 52, sum_of_costs: 1254, sum_of_loss: 1153
HNode: 52, LNode: 235, solved: 1ms, makespan: 51, sum_of_costs: 1278, sum_of_loss: 1184
HNode: 56, LNode: 252, solved: 1ms, makespan: 55, sum_of_costs: 1445, sum_of_loss: 1266
HNode: 48, LNode: 218, solved: 1ms, makespan: 47, sum_of_costs: 1155, sum_of_loss: 1071
HNode: 42, LNode: 191, solved: 1ms, makespan: 41, sum_of_costs: 1118, sum_of_loss: 1058
HNode: 55, LNode: 278, solved: 1ms, makespan: 51, sum_of_costs: 1201, sum_of_loss: 1115
HNode: 43, LNode: 194, solved: 1ms, makespan: 42, sum_of_costs: 1082, sum_of_loss: 1011
HNode: 50, LNode: 232, solved: 1ms, makespan: 49, sum_of_costs: 1189, sum_of_loss: 1111
HNode: 48, LNode: 223, solved: 1ms, makespan: 47, sum_of_costs: 1461, sum_of_loss: 1367
HNode: 49, LNode: 219, solved: 1ms, makespan: 48, sum_of_costs: 1285, sum_of_loss: 1217
HNode: 56, LNode: 255, solved: 1ms, makespan: 55, sum_of_costs: 1520, sum_of_loss: 1308
HNode: 39, LNode: 174, solved: 1ms, makespan: 38, sum_of_costs: 1071, sum_of_loss: 997
HNode: 72, LNode: 409, solved: 1ms, makespan: 61, sum_of_costs: 1420, sum_of_loss: 1280
HNode: 57, LNode: 263, solved: 1ms, makespan: 54, sum_of_costs: 1429, sum_of_loss: 1288
HNode: 46, LNode: 207, solved: 1ms, makespan: 45, sum_of_costs: 1242, sum_of_loss: 1155
HNode: 55, LNode: 255, solved: 1ms, makespan: 54, sum_of_costs: 1188, sum_of_loss: 1125
HNode: 52, LNode: 236, solved: 1ms, makespan: 51, sum_of_costs: 1291, sum_of_loss: 1155
HNode: 45, LNode: 198, solved: 1ms, makespan: 44, sum_of_costs: 1210, sum_of_loss: 1118
HNode: 51, LNode: 228, solved: 1ms, makespan: 50, sum_of_costs: 1387, sum_of_loss: 1271
HNode: 48, LNode: 219, solved: 1ms, makespan: 47, sum_of_costs: 1301, sum_of_loss: 1142
HNode: 54, LNode: 244, solved: 1ms, makespan: 53, sum_of_costs: 1456, sum_of_loss: 1282
HNode: 54, LNode: 253, solved: 1ms, makespan: 53, sum_of_costs: 1168, sum_of_loss: 1057
HNode: 58, LNode: 269, solved: 1ms, makespan: 57, sum_of_costs: 1468, sum_of_loss: 1339
HNode: 78, LNode: 364, solved: 1ms, makespan: 76, sum_of_costs: 1376, sum_of_loss: 1285
HNode: 42, LNode: 181, solved: 1ms, makespan: 41, sum_of_costs: 1353, sum_of_loss: 1254
HNode: 51, LNode: 216, solved: 1ms, makespan: 50, sum_of_costs: 1219, sum_of_loss: 1123
HNode: 51, LNode: 226, solved: 1ms, makespan: 50, sum_of_costs: 1202, sum_of_loss: 1102
HNode: 107, LNode: 553, solved: 2ms, makespan: 95, sum_of_costs: 1760, sum_of_loss: 1502
HNode: 44, LNode: 198, solved: 1ms, makespan: 43, sum_of_costs: 1258, sum_of_loss: 1175
HNode: 52, LNode: 239, solved: 1ms, makespan: 50, sum_of_costs: 1278, sum_of_loss: 1167
HNode: 45, LNode: 212, solved: 1ms, makespan: 44, sum_of_costs: 1137, sum_of_loss: 1032
