HNode,LNode,Time,Makespan,SOC,SOL
HNode: 52, LNode: 235, solved: 6ms, makespan: 51, sum_of_costs: 1367, sum_of_loss: 1236
HNode: 50, LNode: 231, solved: 5ms, makespan: 49, sum_of_costs: 1392, sum_of_loss: 1171
HNode: 48, LNode: 213, solved: 5ms, makespan: 47, sum_of_costs: 1269, sum_of_loss: 1184
HNode: 55, LNode: 248, solved: 5ms, makespan: 54, sum_of_costs: 1269, sum_of_loss: 1169
HNode: 55, LNode: 254, solved: 5ms, makespan: 54, sum_of_costs: 1398, sum_of_loss: 1251
HNode: 47, LNode: 207, solved: 5ms, makespan: 46, sum_of_costs: 1168, sum_of_loss: 1070
HNode: 43, LNode: 191, solved: 4ms, makespan: 42, sum_of_costs: 1076, sum_of_loss: 1053
HNode: 48, LNode: 215, solved: 4ms, makespan: 47, sum_of_costs: 1230, sum_of_loss: 1065
HNode: 41, LNode: 185, solved: 4ms, makespan: 40, sum_of_costs: 1128, sum_of_loss: 1050
HNode: 52, LNode: 238, solved: 4ms, makespan: 51, sum_of_costs: 1131, sum_of_loss: 1083
HNode: 51, LNode: 240, solved: 6ms, makespan: 50, sum_of_costs: 1455, sum_of_loss: 1390
HNode: 49, LNode: 222, solved: 5ms, makespan: 48, sum_of_costs: 1295, sum_of_loss: 1226
HNode: 56, LNode: 252, solved: 5ms, makespan: 55, sum_of_costs: 1440, sum_of_loss: 1282
HNode: 40, LNode: 180, solved: 4ms, makespan: 39, sum_of_costs: 1071, sum_of_loss: 1024
HNode: 55, LNode: 252, solved: 5ms, makespan: 54, sum_of_costs: 1260, sum_of_loss: 1166
HNode: 49, LNode: 230, solved: 5ms, makespan: 48, sum_of_costs: 1357, sum_of_loss: 1214
HNode: 46, LNode: 206, solved: 5ms, makespan: 45, sum_of_costs: 1243, sum_of_loss: 1149
HNode: 52, LNode: 242, solved: 5ms, makespan: 51, sum_of_costs: 1164, sum_of_loss: 1114
HNode: 52, LNode: 237, solved: 5ms, makespan: 51, sum_of_costs: 1217, sum_of_loss: 1147
HNode: 50, LNode: 227, solved: 5ms, makespan: 49, sum_of_costs: 1286, sum_of_loss: 1142
