HNode,LNode,Time,Makespan,SOC,SOL
HNode: 80, LNode: 363, solved: 1ms, makespan: 78, sum_of_costs: 1428, sum_of_loss: 1289
HNode: 47, LNode: 216, solved: 1ms, makespan: 46, sum_of_costs: 1149, sum_of_loss: 1058
HNode: 42, LNode: 189, solved: 1ms, makespan: 41, sum_of_costs: 1137, sum_of_loss: 1064
HNode: 52, LNode: 242, solved: 1ms, makespan: 51, sum_of_costs: 1234, sum_of_loss: 1111
HNode: 41, LNode: 187, solved: 1ms, makespan: 40, sum_of_costs: 1134, sum_of_loss: 1043
HNode: 52, LNode: 227, solved: 1ms, makespan: 51, sum_of_costs: 1140, sum_of_loss: 1080
HNode: 50, LNode: 224, solved: 1ms, makespan: 49, sum_of_costs: 1442, sum_of_loss: 1383
HNode: 49, LNode: 213, solved: 1ms, makespan: 48, sum_of_costs: 1353, sum_of_loss: 1278
HNode: 58, LNode: 257, solved: 1ms, makespan: 57, sum_of_costs: 1497, sum_of_loss: 1315
HNode: 48, LNode: 234, solved: 1ms, makespan: 46, sum_of_costs: 1062, sum_of_loss: 1022
HNode: 55, LNode: 242, solved: 1ms, makespan: 54, sum_of_costs: 1271, sum_of_loss: 1154
HNode: 77, LNode: 352, solved: 1ms, makespan: 74, sum_of_costs: 1481, sum_of_loss: 1355
HNode: 48, LNode: 221, solved: 1ms, makespan: 47, sum_of_costs: 1304, sum_of_loss: 1157
HNode: 70, LNode: 335, solved: 1ms, makespan: 68, sum_of_costs: 1246, sum_of_loss: 1200
HNode: 52, LNode: 232, solved: 1ms, makespan: 51, sum_of_costs: 1309, sum_of_loss: 1185
HNode: 46, LNode: 192, solved: 1ms, makespan: 45, sum_of_costs: 1287, sum_of_loss: 1136
HNode: 75, LNode: 350, solved: 1ms, makespan: 72, sum_of_costs: 1681, sum_of_loss: 1449
HNode: 48, LNode: 220, solved: 1ms, makespan: 47, sum_of_costs: 1243, sum_of_loss: 1143
HNode: 60, LNode: 275, solved: 1ms, makespan: 59, sum_of_costs: 1491, sum_of_loss: 1313
HNode: 67, LNode: 327, solved: 1ms, makespan: 63, sum_of_costs: 1180, sum_of_loss: 1083
HNode: 54, LNode: 244, solved: 1ms, makespan: 53, sum_of_costs: 1436, sum_of_loss: 1289
HNode: 50, LNode: 223, solved: 1ms, makespan: 49, sum_of_costs: 1227, sum_of_loss: 1187
HNode: 57, LNode: 318, solved: 1ms, makespan: 48, sum_of_costs: 1345, sum_of_loss: 1257
HNode: 58, LNode: 256, solved: 1ms, makespan: 56, sum_of_costs: 1364, sum_of_loss: 1187
HNode: 51, LNode: 227, solved: 1ms, makespan: 50, sum_of_costs: 1241, sum_of_loss: 1136
HNode: 90, LNode: 458, solved: 1ms, makespan: 79, sum_of_costs: 1640, sum_of_loss: 1374
HNode: 45, LNode: 206, solved: 1ms, makespan: 44, sum_of_costs: 1245, sum_of_loss: 1173
HNode: 134, LNode: 623, solved: 2ms, makespan: 125, sum_of_costs: 1989, sum_of_loss: 1737
HNode: 45, LNode: 197, solved: 1ms, makespan: 44, sum_of_costs: 1123, sum_of_loss: 1044
HNode: 59, LNode: 251, solved: 1ms, makespan: 58, sum_of_costs: 1191, sum_of_loss: 1089
HNode: 43, LNode: 200, solved: 1ms, makespan: 42, sum_of_costs: 1150, sum_of_loss: 1026
HNode: 54, LNode: 242, solved: 1ms, makespan: 53, sum_of_costs: 1227, sum_of_loss: 1081
HNode: 55, LNode: 245, solved: 1ms, makespan: 54, sum_of_costs: 1417, sum_of_loss: 1238
HNode: 77, LNode: 357, solved: 1ms, makespan: 67, sum_of_costs: 1395, sum_of_loss: 1302
HNode: 78, LNode: 359, solved: 2ms, makespan: 71, sum_of_costs: 1539, sum_of_loss: 1425
HNode: 50, LNode: 222, solved: 1ms, makespan: 49, sum_of_costs: 1444, sum_of_loss: 1276
HNode: 57, LNode: 276, solved: 1ms, makespan: 53, sum_of_costs: 1407, sum_of_loss: 1260
HNode: 47, LNode: 206, solved: 1ms, makespan: 46, sum_of_costs: 1285, sum_of_loss: 1202
HNode: 58, LNode: 262, solved: 1ms, makespan: 55, sum_of_costs: 1405, sum_of_loss: 1332
HNode: 42, LNode: 188, solved: 1ms, makespan: 41, sum_of_costs: 1101, sum_of_loss: 997
HNode: 81, LNode: 408, solved: 1ms, makespan: 72, sum_of_costs: 1501, sum_of_loss: 1390
HNode: 58, LNode: 249, solved: 1ms, makespan: 57, sum_of_costs: 1303, sum_of_loss: 1202
HNode: 90, LNode: 423, solved: 1ms, makespan: 87, sum_of_costs: 1634, sum_of_loss: 1451
HNode: 54, LNode: 246, solved: 1ms, makespan: 53, sum_of_costs: 1321, sum_of_loss: 1190
HNode: 73, LNode: 342, solved: 1ms, makespan: 71, sum_of_costs: 1557, sum_of_loss: 1438
HNode: 66, LNode: 313, solved: 1ms, makespan: 61, sum_of_costs: 1351, sum_of_loss: 1213
HNode: 43, LNode: 190, solved: 1ms, makespan: 42, sum_of_costs: 1336, sum_of_loss: 1222
HNode: 47, LNode: 210, solved: 1ms, makespan: 46, sum_of_costs: 1250, sum_of_loss: 1194
HNode: 71, LNode: 324, solved: 1ms, makespan: 68, sum_of_costs: 1439, sum_of_loss: 1267
HNode: 62, LNode: 273, solved: 1ms, makespan: 60, sum_of_costs: 1384, sum_of_loss: 1289
HNode: 49, LNode: 217, solved: 1ms, makespan: 48, sum_of_costs: 1215, sum_of_loss: 1096
HNode: 53, LNode: 237, solved: 1ms, makespan: 52, sum_of_costs: 1255, sum_of_loss: 1111
HNode: 39, LNode: 172, solved: 1ms, makespan: 38, sum_of_costs: 1141, sum_of_loss: 1067
HNode: 44, LNode: 189, solved: 1ms, makespan: 43, sum_of_costs: 1146, sum_of_loss: 1110
HNode: 53, LNode: 232, solved: 1ms, makespan: 52, sum_of_costs: 1252, sum_of_loss: 1154
HNode: 51, LNode: 227, solved: 1ms, makespan: 50, sum_of_costs: 1161, sum_of_loss: 1068
HNode: 53, LNode: 232, solved: 1ms, makespan: 52, sum_of_costs: 1259, sum_of_loss: 1104
HNode: 91, LNode: 426, solved: 1ms, makespan: 90, sum_of_costs: 1501, sum_of_loss: 1279
HNode: 52, LNode: 234, solved: 1ms, makespan: 51, sum_of_costs: 1548, sum_of_loss: 1350
HNode: 133, LNode: 633, solved: 2ms, makespan: 131, sum_of_costs: 2007, sum_of_loss: 1599
HNode: 48, LNode: 216, solved: 1ms, makespan: 47, sum_of_costs: 1317, sum_of_loss: 1215
HNode: 45, LNode: 192, solved: 1ms, makespan: 44, sum_of_costs: 1126, sum_of_loss: 1039
HNode: 89, LNode: 494, solved: 1ms, makespan: 75, sum_of_costs: 1465, sum_of_loss: 1313
HNode: 49, LNode: 225, solved: 1ms, makespan: 48, sum_of_costs: 1231, sum_of_loss: 1140
HNode: 80, LNode: 354, solved: 1ms, makespan: 78, sum_of_costs: 1631, sum_of_loss: 1362
HNode: 385, LNode: 5228, solved: 11ms, makespan: 92, sum_of_costs: 1488, sum_of_loss: 1312
HNode: 57, LNode: 263, solved: 1ms, makespan: 56, sum_of_costs: 1273, sum_of_loss: 1144
HNode: 75, LNode: 351, solved: 1ms, makespan: 74, sum_of_costs: 1338, sum_of_loss: 1196
HNode: 39, LNode: 168, solved: 1ms, makespan: 38, sum_of_costs: 1251, sum_of_loss: 1195
HNode: 43, LNode: 194, solved: 1ms, makespan: 42, sum_of_costs: 1136, sum_of_loss: 1054
HNode: 48, LNode: 210, solved: 1ms, makespan: 47, sum_of_costs: 1201, sum_of_loss: 1067
HNode: 48, LNode: 216, solved: 1ms, makespan: 47, sum_of_costs: 1269, sum_of_loss: 1160
HNode: 58, LNode: 270, solved: 1ms, makespan: 56, sum_of_costs: 1318, sum_of_loss: 1201
HNode: 63, LNode: 272, solved: 1ms, makespan: 62, sum_of_costs: 1430, sum_of_loss: 1311
HNode: 51, LNode: 237, solved: 1ms, makespan: 50, sum_of_costs: 1367, sum_of_loss: 1172
HNode: 53, LNode: 238, solved: 1ms, makespan: 52, sum_of_costs: 1096, sum_of_loss: 992
HNode: 73, LNode: 347, solved: 1ms, makespan: 71, sum_of_costs: 1458, sum_of_loss: 1271
HNode: 58, LNode: 258, solved: 1ms, makespan: 57, sum_of_costs: 1470, sum_of_loss: 1345
HNode: 58, LNode: 258, solved: 1ms, makespan: 57, sum_of_costs: 1242, sum_of_loss: 1073
HNode: 58, LNode: 249, solved: 1ms, makespan: 57, sum_of_costs: 1392, sum_of_loss: 1199
HNode: 79, LNode: 369, solved: 1ms, makespan: 78, sum_of_costs: 1301, sum_of_loss: 1228
HNode: 153, LNode: 789, solved: 2ms, makespan: 127, sum_of_costs: 2100, sum_of_loss: 1660
HNode: 54, LNode: 230, solved: 1ms, makespan: 52, sum_of_costs: 1257, sum_of_loss: 1146
HNode: 53, LNode: 221, solved: 1ms, makespan: 52, sum_of_costs: 1380, sum_of_loss: 1296
HNode: 65, LNode: 351, solved: 1ms, makespan: 60, sum_of_costs: 1341, sum_of_loss: 1237
HNode: 58, LNode: 259, solved: 1ms, makespan: 55, sum_of_costs: 1591, sum_of_loss: 1445
HNode: 79, LNode: 371, solved: 1ms, makespan: 77, sum_of_costs: 1363, sum_of_loss: 1186
HNode: 48, LNode: 214, solved: 1ms, makespan: 47, sum_of_costs: 1421, sum_of_loss: 1268
HNode: 51, LNode: 228, solved: 1ms, makespan: 50, sum_of_costs: 1213, sum_of_loss: 1102
HNode: 50, LNode: 219, solved: 1ms, makespan: 49, sum_of_costs: 1264, sum_of_loss: 1162
